Date,Ticker,Momentum,Volatilidade,Liquidez,Retorno_Mercado,Volatilidade_Mercado,Selic,IPCA_12M,IPCA_Mensal,Regime,Mercado,Future_Return_3M,Risk_Free_3M,Target_3M,Future_Return_12M,Risk_Free_12M,Target_12M,Future_Return_36M,Risk_Free_36M,Target_36M,Future_Return_120M,Risk_Free_120M,Target_120M
2023-10-31,CPOF11,0.0,0.0,302193.65079365077,-0.024772281363012683,0.031068195967629803,12.65,4.82,0.24,crescimento,neutro,0.030000000000000027,0.03022669496366248,0.0,0.09000000000000008,0.12650000000000006,0.0,,,,,,
2023-11-30,CPOF11,0.030000000000000027,0.06000000000000006,344747.3015873016,-0.028797732440234425,0.023056029813145144,12.17,4.68,0.28,crescimento,neutro,0.0,0.02912749180362728,0.0,0.058252427184465994,0.12169999999999992,0.0,,,,,,
2023-12-31,CPOF11,0.030000000000000027,0.06000000000000006,550824.380952381,-0.012761036633941347,0.03374491957331237,11.87,4.62,0.56,crescimento,neutro,0.0,0.028438697165879434,0.0,0.04854368932038833,0.11870000000000003,0.0,,,,,,
2024-01-31,CPOF11,0.030000000000000027,0.0,151285.74603174604,13.358182255360136,26.24723085907528,11.65,4.51,0.42,crescimento,bear,0.0,0.02793270011375948,0.0,0.0531068079679915,0.11650000000000005,0.0,,,,,,
2024-02-29,CPOF11,0.0,0.0,0.0,13.403894450804241,26.24846880140245,11.15,4.5,0.83,crescimento,bear,0.03883495145631066,0.02677991967526072,1.0,0.05339805825242716,0.11149999999999993,0.0,,,,,,
2024-03-31,CPOF11,0.0,0.0,0.0,13.234932592422911,0.023968400969604623,11.0,3.93,0.16,crescimento,bull,0.04854368932038833,0.026433327247938676,1.0,0.05339805825242716,0.1100000000000001,0.0,,,,,,
2024-04-30,CPOF11,0.0,0.0,0.0,-0.02116586481048044,0.025479328177398734,10.65,3.69,0.38,crescimento,neutro,0.05339805825242716,0.02562324337769417,1.0,0.05339805825242716,0.10650000000000004,0.0,,,,,,
2024-05-31,CPOF11,0.03883495145631066,0.07767081697179472,143726.7077824426,-0.022683270966900593,0.02738677336850551,10.46,3.93,0.46,crescimento,neutro,0.014018691588784993,0.02518267848344924,0.0,0.014112169497481064,0.10460000000000003,0.0,,,,,,
2024-06-30,CPOF11,0.04854368932038833,0.07959504286311296,599674.3428614783,-0.038643700511168055,0.029782541446612416,10.4,4.23,0.21,crescimento,bear,0.004629629629629539,0.02504343465293979,0.0,0.004537017257125298,0.10400000000000009,0.0,,,,,,
2024-07-31,CPOF11,0.05339805825242716,0.020894411601567617,4926409.228781443,-0.027207652539436578,0.03067965526377214,10.4,4.5,0.38,crescimento,neutro,0.004608294930875667,0.02504343465293979,0.0,0.0,0.10400000000000009,0.0,,,,,,
